base_currency,target_currency,exchange_rate
KRW,EGP,0.0236
KRW,ERN,0.01148
KRW,ETB,0.04273
KRW,EUR,0.00071578
KRW,FJD,0.001733
KRW,FKP,0.00062186
KRW,FOK,0.00534
KRW,GBP,0.00062192
KRW,GEL,0.002064
KRW,GGP,0.00062186
KRW,GHS,0.009159
KRW,GIP,0.00062186
KRW,GMD,0.04993
KRW,GNF,6.5601
KRW,GTQ,0.005954
KRW,GYD,0.1599
KRW,HKD,0.005982
KRW,HNL,0.01878
KRW,HRK,0.005393
KRW,HTG,0.1017
KRW,HUF,0.2708
KRW,IDR,11.978
KRW,ILS,0.002966
KRW,IMP,0.00062186
KRW,INR,0.06374
KRW,IQD,1.0
KRW,IRR,32.8012
KRW,ISK,0.1076
KRW,JEP,0.00062186
KRW,JMD,0.1179
KRW,JOD,0.00054267
KRW,JPY,0.1151
KRW,KES,0.1157
KRW,KGS,0.06828
KRW,KHR,3.1467
KRW,KID,0.00119
KRW,KMF,0.3521
KRW,KWD,0.00023416
KRW,KYD,0.00063784
KRW,KZT,0.3557
KRW,LAK,15.6856
KRW,LBP,11.4811
KRW,LKR,0.2501
KRW,LRD,0.1451
KRW,LSL,0.01405
KRW,LYD,0.003714
KRW,MAD,0.007786
KRW,MDL,0.01371
KRW,MGA,3.4706
KRW,MKD,0.04383
KRW,MMK,1.8565
KRW,MNT,2.6347
KRW,MOP,0.006162
KRW,MRU,0.02998
KRW,MUR,0.03382
KRW,MVR,0.01174
KRW,MWK,0.8804
KRW,MXN,0.01339
KRW,MYR,0.003576
KRW,MZN,0.04882
KRW,NAD,0.01405
KRW,NGN,0.5951
KRW,NIO,0.02782
KRW,NOK,0.008546
KRW,NPR,0.102
KRW,NZD,0.001291
KRW,OMR,0.0002943
KRW,PAB,0.00076541
KRW,PEN,0.002891
KRW,PGK,0.00282
KRW,PHP,0.04294
KRW,PKR,0.2179
KRW,PLN,0.003189
KRW,PYG,5.6155
KRW,QAR,0.002786
KRW,RON,0.003554
KRW,RSD,0.08381
KRW,RUB,0.0706
KRW,RWF,0.9665
KRW,SAR,0.00287
KRW,SBD,0.006399
KRW,SCR,0.01035
KRW,SDG,0.3415
KRW,SEK,0.008362
KRW,SGD,0.001036
KRW,SHP,0.00062186
KRW,SLE,0.01711
KRW,SLL,17.1058
KRW,SOS,0.437
KRW,SRD,0.0294
KRW,SSP,0.8024
KRW,STN,0.01754
KRW,SYP,9.8246
KRW,SZL,0.01405
KRW,THB,0.0272
KRW,TJS,0.008356
KRW,TMT,0.002676
KRW,TND,0.002408
KRW,TOP,0.001821
KRW,TRY,0.02178
KRW,TTD,0.00513
KRW,TVD,0.00119
KRW,TWD,0.02464
KRW,TZS,1.9202
KRW,UAH,0.02756
KRW,UGX,2.8776
KRW,USD,0.00076542
KRW,UYU,0.03031
KRW,UZS,9.4074
KRW,VES,0.02691
KRW,VND,18.5812
KRW,VUV,0.09312
KRW,WST,0.002114
KRW,XAF,0.4695
KRW,XCD,0.002067
KRW,XDR,0.00058071
KRW,XOF,0.4695
KRW,XPF,0.08541
KRW,YER,0.1902
KRW,ZAR,0.01405
KRW,ZMW,0.0172
KRW,ZWL,4.3784
CNY,CNY,1.0
CNY,AED,0.5043
CNY,AFN,10.119
CNY,ALL,13.5076
CNY,AMD,55.2136
CNY,ANG,0.2458
CNY,AOA,114.9156
CNY,ARS,48.0652
CNY,AUD,0.2137
CNY,AWG,0.2458
CNY,AZN,0.2328
CNY,BAM,0.2511
CNY,BBD,0.2746
CNY,BDT,15.1367
CNY,BGN,0.2512
CNY,BHD,0.05163
CNY,BIF,389.0826
CNY,BMD,0.1373
CNY,BND,0.186
CNY,BOB,0.9453
CNY,BRL,0.6692
CNY,BSD,0.1373
CNY,BTN,11.4325
CNY,BWP,1.865
CNY,BYN,0.4458
CNY,BZD,0.2746
CNY,CAD,0.1888
CNY,CDF,342.0161
CNY,CHF,0.1236
CNY,CLP,122.1552
CNY,COP,555.8758
CNY,CRC,72.8084
CNY,CUP,3.2956
CNY,CVE,14.1589
CNY,CZK,3.1614
CNY,DJF,24.4042
CNY,DKK,0.958
CNY,DOP,7.767
CNY,DZD,18.542
CNY,EGP,4.236
CNY,ERN,2.0598
CNY,ETB,7.6788
CNY,EUR,0.1284
CNY,FJD,0.3113
CNY,FKP,0.1116
CNY,FOK,0.958
CNY,GBP,0.1117
CNY,GEL,0.3705
CNY,GGP,0.1116
CNY,GHS,1.6452
CNY,GIP,0.1116
CNY,GMD,8.9678
CNY,GNF,1178.3204
CNY,GTQ,1.0698
CNY,GYD,28.7331
CNY,HKD,1.0736
CNY,HNL,3.3737
CNY,HRK,0.9675
CNY,HTG,18.2723
CNY,HUF,48.6208
CNY,IDR,2147.6239
CNY,ILS,0.5308
CNY,IMP,0.1116
CNY,INR,11.433
CNY,IQD,179.7034
CNY,IRR,5843.8475
CNY,ISK,19.3365
CNY,JEP,0.1116
CNY,JMD,21.1914
CNY,JOD,0.09736
CNY,JPY,20.647
CNY,KES,20.9074
CNY,KGS,12.2624
CNY,KHR,565.4667
CNY,KID,0.2137
CNY,KMF,63.1724
CNY,KRW,179.5963
CNY,KWD,0.04203
CNY,KYD,0.1144
CNY,KZT,63.8528
CNY,LAK,2818.2871
CNY,LBP,2059.7606
CNY,LKR,44.8574
CNY,LRD,26.0747
CNY,LSL,2.5214
CNY,LYD,0.6675
CNY,MAD,1.399
CNY,MDL,2.4621
CNY,MGA,623.6765
CNY,MKD,7.8625
CNY,MMK,332.6852
CNY,MNT,472.8735
CNY,MOP,1.1058
CNY,MRU,5.3868
CNY,MUR,6.0173
CNY,MVR,2.1086
CNY,MWK,158.1322
CNY,MXN,2.4016
CNY,MYR,0.6414
CNY,MZN,8.7685
CNY,NAD,2.5214
CNY,NGN,106.9312
CNY,NIO,4.9985
CNY,NOK,1.535
